mu_g,k_g,mu_i,k_i
4.146046597351981,2.34833121984433,4.794846395982849,13.010444680558278
4.37678544318347,2.279423771773719,4.77703951569936,12.39167818658104
3.6692063971064717,2.1780285028482287,4.678042946846566,12.74673199673647
4.310826659150718,3.66241168484135,4.997015349149341,15.039041486404274
3.8025054866531764,4.109762503166133,4.921739140735717,10.798001811341155
3.9909754662751644,3.004316747689605,4.733254920592188,10.74622989976999
4.006933641115108,3.22042089673107,4.92314310500693,17.073262321432164
3.7198191592144947,3.6619012515919103,4.790058489973569,17.44214069415423
4.441472675464452,2.882035489939524,5.009172833961103,13.826922326001972
3.675506527755999,3.369830945990129,4.7727475999708675,12.113226339397832
4.207662661434844,3.098329542781265,5.012596220186035,13.406660116690396
4.576171678920899,2.0194147823353097,4.730998397531006,11.872837154995057
3.760784246714864,3.706478375260606,4.7906602151557145,13.936682127463854
4.565414583223741,3.1910494178214477,4.802820050188839,12.763420500075542
4.040049313694343,2.9299380309156846,4.779859565329015,14.318382949607338
4.301908983793508,2.764651999650619,4.85231864611987,14.968303473358107
4.025377527934794,2.8198568202349974,4.87639399890285,15.202771984836005
4.3100997188396875,2.2927939549839564,4.848461186070761,13.086641294939016
4.149205956275972,2.9319481778740903,4.8346095558403,14.270551880696408
4.343082793592576,2.7662737099973054,4.971585392225136,15.24856226710411
4.470253131838605,3.7073308456275202,5.043253643296617,14.285995680725401
4.532427403098244,3.7565161884050573,5.059749868896438,13.268212155426058
4.499565275264335,2.035536266039122,4.831417006323528,12.440812718689097
4.376561528096917,2.941718068519461,5.059732043280409,13.822277826904008
4.36531488921018,2.8429715562671234,4.810281757007291,14.89601069537156
3.793989210933741,2.8777969276150523,4.678961748301719,12.589716921499729
4.34964352842008,2.462228013780629,4.9930504261341175,14.23793987645302
4.047738595696633,2.8959684586334364,4.8681924047874165,11.504053440220124
4.049438716989014,2.4996944504393666,4.8157279877986126,16.696856760989593
4.236599362183166,2.569549367348781,4.835325771062295,12.48987629715232
4.30051376511427,3.1690896472841192,4.87918613962429,11.884011150295724
3.802178186828871,3.4531115754780526,4.842076413527468,15.19670573905834
3.6801934385568313,2.459198826571477,4.72884100419363,15.218746098114531
3.6928245081354465,2.677620237634408,4.6743772238323,12.444082489649157
3.4569666124602034,2.5744621413959643,4.765872958172458,15.728389892462973
4.1271511894502595,2.764838850956004,4.960527048971996,11.305509799884787
4.017980089310274,2.6079154046809983,4.88419567996045,16.31411027899613
4.304640431834206,3.188441373575487,4.872459304485636,14.414303256921285
4.087350271220336,2.2206344249200325,4.903715219277788,14.638947382923435
3.7092998418917573,3.202016692911283,4.961056055898197,12.824665452485224
4.162733397583446,2.0063026264578303,4.804026728139313,12.924686479440151
3.82797173689025,3.0850202583093305,5.002782197775045,11.684097169725252
4.157180963851473,2.716379948590728,4.777347020812641,13.84616146213269
3.8450049799931683,2.4939429612301693,4.809288918978689,14.520531359721128
3.971880160801007,2.9010484871118765,4.867755827302814,11.699404341451649
4.14178254671074,3.3309934450764427,4.881454308821542,12.37430150922052
3.8587395309290056,2.531378979223539,4.776590971988592,14.921032820354768
4.1006792882170435,2.9821886914453026,4.977465623679866,12.049240963772297
4.330496676833552,2.6126351651884128,4.815529110370961,11.758482132458896
5.009344032423962,1.8408166252398483,4.849230388052228,12.815296082691647
5.165579622330955,1.9310010991366728,4.841630011427307,12.962161043803109
3.979633708219494,4.631137815069035,4.864248645087985,11.44415812911827
3.8130547389034133,2.6132001106214884,4.9239493607143325,12.054764885962234
3.948072058151874,2.835088101785504,4.947253164402579,13.447088117571253
3.9532907562354436,2.8084472894414043,4.701943977709685,12.559220149304227
3.9539934585611447,3.2082764647904196,4.731779092331783,13.330456481081963
3.357324251139918,2.3903210527458616,4.741426561402565,14.69696126401014
3.6943754675479914,2.690631688339759,4.669691628560993,15.489576247271957
3.677836141976123,2.4795892284183982,4.717017211767512,15.837338538604474
4.40597103529675,2.9767486208391105,4.8853980826740475,10.698979381806673
4.343178173137631,2.6218604873967344,4.9613977052961165,10.02575759002347
4.278177154416089,3.2032098725607945,4.865816878364625,11.657427231372578
4.043023044816467,2.2727923265210497,4.751837224401521,14.911968242472144
4.117254181533766,2.2207084485490673,4.700917208221645,15.442498343688175
3.9680452424561476,2.57732616310917,4.825870465422536,13.568188846190557
3.9899272870976734,3.0512919431293084,4.753217136331721,11.530635891789853
4.740636299327815,2.1492758314231826,5.0570728308905215,14.47860119508844
3.30267736249528,2.9543177892524217,4.76417393326985,11.03921158829184
4.7228592551169575,2.0556855764571833,4.9735066287771925,15.185801550735134
3.5377633656621774,3.70323575109833,4.883930981003025,11.934353854559014
3.4052970894761345,2.822789698624737,4.7385892751614795,11.170970953503298
4.022609306782557,3.3067062269390286,4.749128484222467,12.029608997478618
