"model_name","anchor_year","term","term_label","component","estimate","std_error","conf_low","conf_high","hazard_ratio","hazard_ratio_low","hazard_ratio_high","z_value","p_value"
"no_covariates",2019,"fu [0,0.0821375475371056)","Baseline excess hazard fu [0,0.0821375475371056)","baseline",-1.32255393207977,0.0155877319018888,-1.35310588660747,-1.29200197755207,0.266453927011558,0.258436338883407,0.274720248424163,-84.8458223687765,0
"no_covariates",2019,"fu [0.0821375475371056,0.164275095074211)","Baseline excess hazard fu [0.0821375475371056,0.164275095074211)","baseline",0.372159152170275,0.00678011783029477,0.358870121222897,0.385448183117653,1.45086387105322,1.43171084064258,1.47027312539085,54.889776473707,0
"no_covariates",2019,"fu [0.164275095074211,0.246412642611317)","Baseline excess hazard fu [0.164275095074211,0.246412642611317)","baseline",-1.77786511541062,0.0212540346284225,-1.81952302328233,-1.73620720753892,0.168998554827765,0.162103051878649,0.176187377121399,-83.6483588406847,0
"minimal",2019,"age_band5.17","Age 5-17 vs 0-4","covariate",0.0737765323153061,0.0453022622718631,-0.0150159017375456,0.162568966368158,1.07656620085722,0.985096274736096,1.17652945661441,1.62853969350507,0.103410499767806
"minimal",2019,"age_band18.39","Age 18-39 vs 0-4","covariate",-0.102733460788181,0.0439977602216732,-0.18896907082266,-0.0164978507537013,0.902367457741808,0.827812109846339,0.983637493467643,-2.33497024099819,0.0195449754060894
"minimal",2019,"age_band40.64","Age 40-64 vs 0-4","covariate",0.193279792189597,0.0426712333763814,0.10964417477189,0.276915409607305,1.21322219613053,1.11588094121831,1.31905478695314,4.52951032572163,5.91205451197751e-06
"minimal",2019,"age_band65.85","Age 65-85 vs 0-4","covariate",2.25208411895725,0.0407340895324727,2.1722453034736,2.33192293444089,9.50753002603464,8.77797113980538,10.297724355238,55.2874544344955,0
"minimal",2019,"sexmale","Male vs female","covariate",0.00826645329933572,0.0117578092970779,-0.0147788529229369,0.0313117595216083,1.00830071476628,0.985329818319819,1.03180712944607,0.703060671462851,0.482017940131032
"minimal",2019,"vaccinated_td","Vaccinated (time-dependent)","covariate",-2.03062128084826,0.0631850858438303,-2.15446404910217,-1.90677851259436,0.13125395024635,0.115965325681134,0.148558194909412,-32.1376675164641,1.31338568846987e-226
"minimal",2019,"fu [0,0.0821375475371056)","Baseline excess hazard fu [0,0.0821375475371056)","baseline",-2.29816931634852,0.0428704039944558,-2.38219530817765,-2.21414332451938,0.100442554055368,0.0923476233256886,0.109247063452677,-53.6073631740379,0
"minimal",2019,"fu [0.0821375475371056,0.164275095074211)","Baseline excess hazard fu [0.0821375475371056,0.164275095074211)","baseline",-0.472697039604703,0.0406004750420337,-0.55227397068709,-0.393120108522317,0.623318883510228,0.575639333980919,0.674947675749546,-11.6426480014167,2.50127211938701e-31
"minimal",2019,"fu [0.164275095074211,0.246412642611317)","Baseline excess hazard fu [0.164275095074211,0.246412642611317)","baseline",-2.22146664828992,0.0447776516945932,-2.30923084561133,-2.13370245096852,0.108449934216346,0.0993376281558398,0.118398118113699,-49.6110573962537,0
"extended",2019,"age_band5.17","Age 5-17 vs 0-4","covariate",0.0597387926666249,0.0526554561873932,-0.0434659014606659,0.162943486793916,1.06155922327357,0.957465201699187,1.17697017345099,1.13452236467239,0.25657549792623
"extended",2019,"age_band18.39","Age 18-39 vs 0-4","covariate",0.259084266598608,0.0535731328151563,0.154080926280901,0.364087606916314,1.29574298808201,1.16658529036743,1.43920029253488,4.83608579495487,1.32420784776046e-06
"extended",2019,"age_band40.64","Age 40-64 vs 0-4","covariate",0.583432330907692,0.0548260046914242,0.4759733617125,0.690891300102883,1.79217923827131,1.60958013892886,1.99549332425795,10.6415255715132,1.90976515662147e-26
"extended",2019,"age_band65.85","Age 65-85 vs 0-4","covariate",2.28789040763223,0.0489084552571932,2.19202983532813,2.38375097993632,9.85412754617746,8.95336854597749,10.8455079446003,46.779036377268,0
"extended",2019,"sexmale","Male vs female","covariate",0.00864731890357618,0.011756906973232,-0.0143962187639586,0.031690856571111,1.0086848149679,0.985706911305896,1.03219835863673,0.735509681522894,0.462029145929164
"extended",2019,"vaccinated_td","Vaccinated (time-dependent)","covariate",-2.02859705199587,0.0631154220480228,-2.15230327921,-1.90489082478175,0.131519907367655,0.116216170977286,0.148838891253587,-32.1410676847311,1.17729972755403e-226
"extended",2019,"school_memberYes","School member: Yes vs No","covariate",0.0282622338708318,0.0544335096120358,-0.0784274449687583,0.134951912710422,1.02866539996523,0.92456913964085,1.14448174800282,0.519206534215144,0.60361672291336
"extended",2019,"workerYes","Worker: Yes vs No","covariate",-0.375920804415369,0.0328209769030083,-0.440249919145265,-0.311591689685472,0.686656711068697,0.643875484162711,0.732280464861634,-11.4536750544105,2.2538323238247e-30
