"anchor_year","model_name","term_label","hazard_ratio","hazard_ratio_low","hazard_ratio_high"
2019,"Minimal","Age 65-85 vs 0-4",9.50753002603464,8.77797113980538,10.297724355238
2019,"Minimal","Male vs female",1.00830071476628,0.985329818319819,1.03180712944607
2019,"Minimal","Vaccinated (time-dependent)",0.13125395024635,0.115965325681134,0.148558194909412
2019,"Extended","Age 65-85 vs 0-4",9.85412754617746,8.95336854597749,10.8455079446003
2019,"Extended","Male vs female",1.0086848149679,0.985706911305896,1.03219835863673
2019,"Extended","Vaccinated (time-dependent)",0.131519907367655,0.116216170977286,0.148838891253587
2020,"Minimal","Age 65-85 vs 0-4",9.49737089210092,8.76864011143128,10.2866639200457
2020,"Minimal","Male vs female",1.00772916442596,0.984755359508751,1.0312389356695
2020,"Minimal","Vaccinated (time-dependent)",0.130388671403533,0.115107606882349,0.14769836756102
2020,"Extended","Age 65-85 vs 0-4",9.84563294500703,8.94566643849888,10.8361393479449
2020,"Extended","Male vs female",1.00811954182458,0.985138826941221,1.03163633674267
2020,"Extended","Vaccinated (time-dependent)",0.130667591199889,0.11537108620917,0.147992187219473
2023,"Minimal","Age 65-85 vs 0-4",9.50378576121815,8.7745824941439,10.2935887668061
2023,"Minimal","Male vs female",1.00848042262776,0.985501600142943,1.03199503955747
2023,"Minimal","Vaccinated (time-dependent)",0.130999002249,0.115711545477966,0.148306191221871
2023,"Extended","Age 65-85 vs 0-4",9.85062537024322,8.95024914309754,10.8415775509124
2023,"Extended","Male vs female",1.00886524562542,0.985879527590862,1.03238687420358
2023,"Extended","Vaccinated (time-dependent)",0.131270583924358,0.115967961221576,0.148592473492893
