"time","measure","survival","cumulative_mortality"
44,"Expected",0.999271838533559,0.000728161466441279
45,"Expected",0.999257446544168,0.000742553455832295
46,"Expected",0.999243315884601,0.000756684115398643
47,"Expected",0.999229444532671,0.000770555467329292
48,"Expected",0.99921580566256,0.000784194337440258
49,"Expected",0.999202396569714,0.000797603430285787
50,"Expected",0.999189207371157,0.000810792628843315
51,"Expected",0.999176226610518,0.000823773389481697
52,"Expected",0.999163408924787,0.000836591075213167
53,"Expected",0.999150742195824,0.000849257804175774
54,"Expected",0.999138209457348,0.000861790542652119
55,"Expected",0.999125807381129,0.000874192618871117
56,"Expected",0.999113516406899,0.000886483593100951
57,"Expected",0.999101324873907,0.000898675126093096
58,"Expected",0.999089224982781,0.000910775017219367
59,"Expected",0.999077194033661,0.000922805966338758
60,"Expected",0.999065240956009,0.000934759043990985
61,"Expected",0.999053353191702,0.000946646808297591
62,"Expected",0.999041522013521,0.000958477986479411
63,"Expected",0.999029745507158,0.000970254492842493
64,"Expected",0.99901801811061,0.000981981889389805
65,"Expected",0.99900633164451,0.000993668355490418
66,"Expected",0.998994676617627,0.0010053233823728
67,"Expected",0.998983057528575,0.00101694247142481
68,"Expected",0.99897146186412,0.00102853813588022
69,"Expected",0.998959887815395,0.00104011218460531
70,"Expected",0.998948340381783,0.00105165961821696
71,"Expected",0.99893681119881,0.0010631888011905
72,"Expected",0.998925299800491,0.0010747001995085
73,"Expected",0.998913804021465,0.00108619597853488
74,"Expected",0.998902319196037,0.00109768080396266
75,"Expected",0.998890848990316,0.00110915100968367
76,"Expected",0.998879387213182,0.00112061278681763
77,"Expected",0.99886793267611,0.00113206732389004
78,"Expected",0.99885648517934,0.00114351482066
79,"Expected",0.998845045446455,0.0011549545535452
80,"Expected",0.998833609664458,0.00116639033554189
81,"Expected",0.998822180260594,0.00117781973940623
82,"Expected",0.99881075866305,0.0011892413369502
83,"Expected",0.998799341263071,0.00120065873692909
84,"Expected",0.998787928618471,0.00121207138152857
85,"Expected",0.998776519553526,0.00122348044647447
86,"Expected",0.998765115386388,0.00123488461361154
87,"Expected",0.998753714984077,0.00124628501592339
88,"Expected",0.998742317035094,0.00125768296490647
89,"Expected",0.998730922630241,0.00126907736975879
90,"Expected",0.998719531221948,0.0012804687780521
