"time","Observed","Expected","excess_cumulative_mortality"
0,0,0,0
1,3.50000000000072e-05,1.71490671887486e-05,1.78509328112586e-05
2,6.49999999999817e-05,3.4295513777316e-05,3.07044862226658e-05
3,9.50000000000673e-05,5.14389712061858e-05,4.35610287938815e-05
4,0.000150000000000095,6.85787510773528e-05,8.14212489227417e-05
5,0.000195000000000056,8.57149276555225e-05,0.000109285072344534
6,0.000260000000000038,0.000102848567363201,0.000157151432636837
7,0.000310000000000032,0.000119977922779846,0.000190022077220187
8,0.000350000000000072,0.000137103779169423,0.00021289622083065
9,0.0004050000000001,0.000154225137332542,0.000250774862667558
10,0.000495000000000134,0.000171341600525565,0.000323658399474569
11,0.000565000000000149,0.0001884503588927,0.000376549641107449
12,0.000655000000000183,0.000205555851851003,0.000449444148149181
13,0.000735000000000152,0.000222656138935906,0.000512343861064246
14,0.000905000000000156,0.000239752047109909,0.000665247952890247
15,0.00108500000000022,0.000256838067920095,0.000828161932080129
16,0.00131500000000018,0.000273916379407546,0.00104108362059263
17,0.00171500000000024,0.000290984373102043,0.0014240156268982
18,0.00217000000000023,0.000308037287453544,0.00186196271254668
19,0.00288000000000022,0.00032507405635529,0.00255492594364493
20,0.00375000000000014,0.000342084024422595,0.00340791597557755
21,0.0048950000000002,0.000359065870788045,0.00453593412921216
22,0.00648000000000026,0.000375999197156474,0.00610400080284379
23,0.00819500000000029,0.00039287941389643,0.00780212058610386
24,0.0099250000000003,0.000409695902969465,0.00951530409703083
25,0.0119950000000003,0.000426442514101733,0.0115685574858986
26,0.0141800000000003,0.000443112842335669,0.0137368871576646
27,0.0163900000000003,0.000459701462092954,0.0159302985379074
28,0.0186700000000004,0.000476211730529363,0.018193788269471
29,0.0210000000000004,0.000492638532974543,0.0205073614670258
30,0.0231500000000003,0.000508986621078567,0.0226410133789218
31,0.0253950000000003,0.000525250084570494,0.0248697499154298
32,0.0277500000000003,0.000541441893320616,0.0272085581066797
33,0.0297250000000003,0.000557559959806442,0.0291674400401939
34,0.0318900000000003,0.000573607122410169,0.0313163928775901
35,0.0339550000000003,0.00058957585019126,0.033365424149809
36,0.0360050000000003,0.000605477551849476,0.0353995224481508
37,0.0385150000000003,0.000621312429771259,0.037893687570229
38,0.0416150000000003,0.000637056603115971,0.0409779433968843
39,0.0455700000000002,0.000652692038238589,0.0449173079617616
40,0.0503100000000002,0.000668177298480344,0.0496418227015198
41,0.0551350000000002,0.000683494281661146,0.054451505718339
42,0.0607250000000001,0.0006986144000245,0.0600263855999756
43,0.0664600000000001,0.000713504902379536,0.0657464950976205
44,0.0728150000000001,0.000728161466441279,0.0720868385335588
45,0.0791050000000001,0.000742553455832295,0.0783624465441678
46,0.085315,0.000756684115398643,0.0845583158846014
47,0.09128,0.000770555467329292,0.0905094445326707
48,0.09666,0.000784194337440258,0.0958758056625597
49,0.101915,0.000797603430285787,0.101117396569714
50,0.10692,0.000810792628843315,0.106109207371157
51,0.11107,0.000823773389481697,0.110246226610518
52,0.114795,0.000836591075213167,0.113958408924787
53,0.11813,0.000849257804175774,0.117280742195824
54,0.12137,0.000861790542652119,0.120508209457348
55,0.12416,0.000874192618871117,0.123285807381129
56,0.12665,0.000886483593100951,0.125763516406899
57,0.129,0.000898675126093096,0.128101324873907
58,0.131,0.000910775017219367,0.130089224982781
59,0.132875,0.000922805966338758,0.131952194033661
60,0.134405,0.000934759043990985,0.133470240956009
61,0.135915,0.000946646808297591,0.134968353191702
62,0.137325,0.000958477986479411,0.136366522013521
63,0.138615,0.000970254492842493,0.137644745507157
64,0.139635,0.000981981889389805,0.13865301811061
65,0.140565,0.000993668355490418,0.13957133164451
66,0.141435,0.0010053233823728,0.140429676617627
67,0.142155,0.00101694247142481,0.141138057528575
68,0.142765,0.00102853813588022,0.14173646186412
69,0.14336,0.00104011218460531,0.142319887815395
70,0.143885,0.00105165961821696,0.142833340381783
71,0.1443,0.0010631888011905,0.143236811198809
72,0.144645,0.0010747001995085,0.143570299800491
73,0.14494,0.00108619597853488,0.143853804021465
74,0.14523,0.00109768080396266,0.144132319196037
75,0.14548,0.00110915100968367,0.144370848990316
76,0.145725,0.00112061278681763,0.144604387213182
77,0.145915,0.00113206732389004,0.14478293267611
78,0.14614,0.00114351482066,0.14499648517934
79,0.146265,0.0011549545535452,0.145110045446455
80,0.146405,0.00116639033554189,0.145238609664458
81,0.1466,0.00117781973940623,0.145422180260594
82,0.1467,0.0011892413369502,0.14551075866305
83,0.14683,0.00120065873692909,0.145629341263071
84,0.146895,0.00121207138152857,0.145682928618471
85,0.146995,0.00122348044647447,0.145771519553525
86,0.14706,0.00123488461361154,0.145825115386388
87,0.14712,0.00124628501592339,0.145873714984076
88,0.147185,0.00125768296490647,0.145927317035093
89,0.147235,0.00126907736975879,0.145965922630241
90,0.147235,0.0012804687780521,0.145954531221948
